Name,Process,Time
Total Time,System,932
Word,WINWORD.EXE,0
PowerPoint,POWERPNT.EXE,0
OneNote,onenoteim.exe,126
LOL,LeagueClient.exe,0
Overwatch,Overwatch.exe,0
Visual Studio,devenv.exe,128
Chrome,chrome.exe,518
