Name,Process,Time
Total Time,System,858
Word,WINWORD.EXE,0
PowerPoint,POWERPNT.EXE,0
OneNote,onenoteim.exe,570
LOL,LeagueClient.exe,0
Overwatch,Overwatch.exe,0
Visual Studio,devenv.exe,102
Chrome,chrome.exe,633
