Name,Process,Time
Total Time,System,770
Word,WINWORD.EXE,8
PowerPoint,POWERPNT.EXE,1
OneNote,onenoteim.exe,310
Visual Studio,devenv.exe,0
Minecraft,MinecraftLauncher.exe,0
MHW,MonsterHunterWorld.exe,0
Sekiro,sekiro.exe,0
Overwatch,Overwatch.exe,0
Chrome,chrome.exe,761
