Name,Process,Time
Total Time,System,933
Word,WINWORD.EXE,0
PowerPoint,POWERPNT.EXE,0
OneNote,onenoteim.exe,0
Visual Studio,devenv.exe,97
Minecraft,MinecraftLauncher.exe,465
MHW,MonsterHunterWorld.exe,0
Sekiro,sekiro.exe,0
Overwatch,Overwatch.exe,0
Chrome,chrome.exe,876
