Name,Process,Time
Total Time,System,833
Word,WINWORD.EXE,0
PowerPoint,POWERPNT.EXE,0
OneNote,onenoteim.exe,260
Visual Studio,devenv.exe,20
Minecraft,MinecraftLauncher.exe,278
MHW,MonsterHunterWorld.exe,0
Sekiro,sekiro.exe,0
Overwatch,Overwatch.exe,0
Chrome,chrome.exe,765
