Name,Process,Time
Total Time,System,803
Word,WINWORD.EXE,0
PowerPoint,POWERPNT.EXE,2
OneNote,onenoteim.exe,17
Visual Studio,devenv.exe,0
Minecraft,MinecraftLauncher.exe,0
MHW,MonsterHunterWorld.exe,0
Sekiro,sekiro.exe,0
Overwatch,Overwatch.exe,134
Chrome,chrome.exe,605
